Date,NEIXCTAT 
2012-11-05,2191.516
2012-11-06,2199.153
2012-11-07,2199.548
2012-11-08,2190.995
2012-11-09,2189.244
2012-11-12,2181.285
2012-11-13,2181.65
2012-11-14,2170.946
2012-11-15,2165.33
2012-11-16,2166.271
2012-11-19,2167
2012-11-20,2156.409
2012-11-21,2158.142
2012-11-22,2161.591
2012-11-23,2172.422
2012-11-26,2173.393
2012-11-27,2170.356
2012-11-28,2184.367
2012-11-29,2189.678
2012-11-30,2186.807
2012-12-03,2172.89
2012-12-04,2174.9
2012-12-05,2196.566
2012-12-06,2215.764
2012-12-07,2213.826
2012-12-10,2221.092
2012-12-11,2226.414
2012-12-12,2234.959
2012-12-13,2214.829
2012-12-14,2216.315
2012-12-17,2208.405
2012-12-18,2208.62
2012-12-19,2212.228
2012-12-20,2209.222
2012-12-21,2188.123
2012-12-24,2187.729
2012-12-25,2188.75
2012-12-26,2192.216
2012-12-27,2210.417
2012-12-28,2201.149
2012-12-31,2214.679
2013-01-01,2214.579
2013-01-02,2243.67
2013-01-03,2234.428
2013-01-04,2228.427
2013-01-07,2225.159
2013-01-08,2218.974
2013-01-09,2234.851
2013-01-10,2247.791
2013-01-11,2237.932
2013-01-14,2240.704
2013-01-15,2228.475
2013-01-16,2221.253
2013-01-17,2233.011
2013-01-18,2237.175
2013-01-21,2237.581
2013-01-22,2247.905
2013-01-23,2244.378
2013-01-24,2261.027
2013-01-25,2264.267
2013-01-28,2256.756
2013-01-29,2274.709
2013-01-30,2272.908
2013-01-31,2274.081
2013-02-01,2302.214
2013-02-04,2273.18
2013-02-05,2280.525
2013-02-06,2282.437
2013-02-07,2267.319
2013-02-08,2280.58
2013-02-11,2278.786
2013-02-12,2295.787
2013-02-13,2301.862
2013-02-14,2306.4
2013-02-15,2298.052
2013-02-18,2300.729
2013-02-19,2319.747
2013-02-20,2300.317
2013-02-21,2256.535
2013-02-22,2273.409
2013-02-25,2271.096
2013-02-26,2229.165
2013-02-27,2238.931
2013-02-28,2253.514
2013-03-01,2262.288
2013-03-04,2257.409
2013-03-05,2277.586
2013-03-06,2292.228
2013-03-07,2280.525
2013-03-08,2294.939
2013-03-11,2301.657
2013-03-12,2296.932
2013-03-13,2294.255
2013-03-14,2296.321
2013-03-15,2304.417
2013-03-18,2298.987
2013-03-19,2296.223
2013-03-20,2298.582
2013-03-21,2286.559
2013-03-22,2280.149
2013-03-25,2282.92
2013-03-26,2293.943
2013-03-27,2302.213
2013-03-28,2297.988
2013-03-29,2296.126
2013-04-01,2284.78
2013-04-02,2303.136
2013-04-03,2291.275
2013-04-04,2307.732
2013-04-05,2300.432
2013-04-08,2311.858
2013-04-09,2303.124
2013-04-10,2327.66
2013-04-11,2340.394
2013-04-12,2358.689
2013-04-15,2352.846
2013-04-16,2344.975
2013-04-17,2346.314
2013-04-18,2340.924
2013-04-19,2351.772
2013-04-22,2357.51
2013-04-23,2378.209
2013-04-24,2379.426
2013-04-25,2357.177
2013-04-26,2369.579
2013-04-29,2381.859
2013-04-30,2384.665
2013-05-01,2396.849
2013-05-02,2397.291
2013-05-03,2375.148
2013-05-06,2364.762
2013-05-07,2360.445
2013-05-08,2376.184
2013-05-09,2373.415
2013-05-10,2359.002
2013-05-13,2353.761
2013-05-14,2368.886
2013-05-15,2391.411
2013-05-16,2396.09
2013-05-17,2419.735
2013-05-20,2410.403
2013-05-21,2413.126
2013-05-22,2419.943
2013-05-23,2367.498
2013-05-24,2355.476
2013-05-27,2353.671
2013-05-28,2365.861
2013-05-29,2322.697
2013-05-30,2309.578
